tempo,v_in,v_out_1,v_out_0.1,v_out_0.01
0.0,1.0,0.0,0.0,0.0
0.01,1.0,0.00995017810930795,0.09516256786567276,0.632120543627901
0.02,1.0,0.019801323182094866,0.18126923730154665,0.8646647365005865
0.03,1.0,0.02955445313725777,0.2591817868618435,0.9502129537230483
0.04,1.0,0.03921054681113326,0.32967994337255246,0.981684362315236
0.05,1.0,0.048770560560927274,0.39346932937056,0.9932620525658431
0.06,1.0,0.05823545077181068,0.45118835274892144,0.9975212498937578
0.07,1.0,0.06760616415832821,0.5034146846312781,0.9990881208299714
0.08,1.0,0.07688363782815553,0.5506710217838702,0.9996645388766688
0.09,1.0,0.08606879953832304,0.5934303050042771,0.9998765895337075
0.1,1.0,0.0951625678559652,0.6321205463723139,0.9999545989046688
0.11,1.0,0.10416585257273145,0.6671289180737089,0.9999832980827507
0.12,1.0,0.11307955178947271,0.6988057992001583,0.9999938561635698
0.13,1.0,0.1219045578087348,0.7274682178625638,0.9999977414141525
0.14,1.0,0.13064175357076602,0.7534030484399044,0.9999991701438515
0.15,1.0,0.13929201270311592,0.7768698528566926,0.9999996928717461
0.16,1.0,0.1478562004185602,0.7981034951822091,0.9999998869729526
0.17,1.0,0.15633517291985533,0.8173164899794003,0.9999999598124775
0.18,1.0,0.16472977835118321,0.8347011282590301,0.9999999849450522
0.19,1.0,0.1730408560697619,0.850431399908456,0.9999999941461686
0.2,1.0,0.18126923730010397,0.8646647374887924,0.9999999977914512
0.21,1.0,0.1894157458622539,0.8775435918637787,0.999999999422507
0.22,1.0,0.1974811964391934,0.8891968626217418,1.0000000006134526
0.23,1.0,0.20546639535548938,0.8997411779388721,1.0000000009391137
0.24,1.0,0.2133721407620175,0.9092820674541452,1.0000000007557148
0.25,1.0,0.22119922273433676,0.9179150222910273,1.0000000008256225
0.26,1.0,0.2289484233710638,0.9257264422343322,1.0000000006623921
0.27,1.0,0.2366205168922475,0.9327945068416267,1.0000000004239833
0.28,1.0,0.24421626988705342,0.9391899569471834,1.000000000307457
0.29,1.0,0.25173644251994004,0.9449767997284182,1.0000000001909304
0.3,1.0,0.25918178695540656,0.9502129540813331,1.0000000001151625
0.31,1.0,0.2665530478062472,0.9549508142450287,1.0000000001113898
0.32,1.0,0.27385096245387885,0.9592378039509608,1.000000000107617
0.33,1.0,0.2810762611572379,0.9631168373009877,1.0000000001038443
0.34,1.0,0.2882296671616783,0.9666267307778247,1.0000000001000715
0.35000000000000003,1.0,0.2953118968078689,0.9698026183524144,1.0000000000962987
0.36,1.0,0.3023236595539022,0.9726762792842518,1.000000000092526
0.37,1.0,0.30926565543176765,0.9752764750319495,1.0000000000887532
0.38,1.0,0.3161385777159093,0.9776292284071632,1.0000000000849805
0.39,1.0,0.32294311359194816,0.9797580893498075,1.0000000000812077
0.4,1.0,0.32967994335353573,0.9816843624493328,1.000000000077435
0.41000000000000003,1.0,0.3363497404682819,0.9834273256868148,1.0000000000736622
0.42,1.0,0.3429531716436824,0.9850044235877767,1.0000000000698894
0.43,1.0,0.3494908969678137,0.9864314410396332,1.0000000000661167
0.44,1.0,0.35596357050574895,0.9877226597930652,1.0000000000623437
0.45,1.0,0.3623718396162331,0.9888910033881299,1.000000000058571
0.46,1.0,0.3687163451721342,0.9899481643080211,1.0000000000547982
0.47000000000000003,1.0,0.3749977217237134,0.9909047227159258,1.0000000000510254
0.48,1.0,0.38121659757310855,0.9917702524353608,1.0000000000472526
0.49,1.0,0.38737359484881806,0.9925534164646241,1.0000000000434799
0.5,1.0,0.3934693293746327,0.9932620526152289,1.0000000000397071
0.51,1.0,0.39950441030776357,0.9939032528798921,1.0000000000359344
0.52,1.0,0.4054794411232273,0.9944834345995962,1.0000000000321616
0.53,1.0,0.41139501933821915,0.9950084052211906,1.0000000000283888
0.54,1.0,0.41725173654139286,0.9954834183506397,1.000000000024616
0.55,1.0,0.42305017845742887,0.9959132282767098,1.0000000000208433
0.56,1.0,0.4287909250116013,0.9963021372653428,1.0000000000170706
0.5700000000000001,1.0,0.43447455025729853,0.9966540359487347,1.0000000000132978
0.58,1.0,0.4401016224211506,0.996972447141142,1.000000000009525
0.59,1.0,0.44567270421243,0.9972605573004827,1.0000000000057523
0.6,1.0,0.4511883527572624,0.9975212499135083,1.0000000000037146
0.61,1.0,0.45664911965878463,0.9977571347071947,1.0000000000035925
0.62,1.0,0.46205555105816104,0.9979705715723097,1.0000000000034703
0.63,1.0,0.4674081876920391,0.9981636977589122,1.0000000000033482
0.64,1.0,0.4727075647297861,0.9983384449818212,1.000000000003226
0.65,1.0,0.4779542120136853,0.9984965631256335,1.000000000003104
0.66,1.0,0.48314865421597725,0.9986396341280943,1.0000000000029818
0.67,1.0,0.4882914108047992,0.9987690906856406,1.0000000000028595
0.68,1.0,0.49338299610136505,0.9988862279684303,1.0000000000027374
0.6900000000000001,1.0,0.4984239193371443,0.9989922173267183,1.0000000000026152
0.7000000000000001,1.0,0.5034146846345217,0.9990881208377554,1.0000000000024931
0.71,1.0,0.508355791066423,0.9991748975150664,1.000000000002371
0.72,1.0,0.513247732583989,0.9992534164788838,1.0000000000022489
0.73,1.0,0.5180909984019966,0.999324463538417,1.0000000000021267
0.74,1.0,0.5228860728779554,0.9993887492920396,1.0000000000020046
0.75,1.0,0.527633435567659,0.9994469177974251,1.0000000000018825
0.76,1.0,0.5323335612801701,0.9994995505212466,1.0000000000017601
0.77,1.0,0.5369869200101599,0.9995471745982202,1.000000000001638
0.78,1.0,0.5415939766758211,0.9995902667146613,1.000000000001516
0.79,1.0,0.5461551919085219,0.9996292579391766,1.0000000000013938
0.8,1.0,0.5506710218168169,0.9996645388798563,1.0000000000012716
0.81,1.0,0.5551419179935566,0.9996964622853703,1.0000000000011495
0.8200000000000001,1.0,0.5595683275647775,0.999725347728895,1.0000000000010274
0.8300000000000001,1.0,0.5639506932379392,0.9997514844377496,1.0000000000009053
0.84,1.0,0.5682894533495063,0.9997751339644475,1.0000000000007832
0.85,1.0,0.5725850419118761,0.9997965334160862,1.0000000000006608
0.86,1.0,0.576837888659652,0.9998158962598873,1.0000000000005387
0.87,1.0,0.5810484190952632,0.9998334156905704,1.0000000000004166
0.88,1.0,0.5852170545339294,0.9998492674992258,1.0000000000002944
0.89,1.0,0.5893442121479713,0.9998636108763359,1.0000000000001723
0.9,1.0,0.5934303050088259,0.9998765895312997,1.0000000000000782
0.91,1.0,0.5974757417123896,0.9998883325936937,1.0000000000000382
0.92,1.0,0.6014809262870278,0.9998989585590542,1.0000000000000162
